Country,YEAR,REGION,TARGET,TEXT,ALIGNED,NOT_ALIGNED,NEUTRAL_IRRELEVANT,BORDER_CASE,EXPLANATION
Poland,2013,ECA,RUSSIA,"Poland is also interested in the development of NATO-Russia cooperation, particularly in such 
(OPERATIONAL STRATEGY) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .153",,,1,,It does not provide relevant information. 
Russia,2015,ECA,RUSSIA,"-- mechanisms to prevent and neutralize social and interethnic conflicts arebeing created, as well as mechanisms to counter the participation ofRussian citizens in the activities of criminal and terrorist groups abroad;
47. With the aim of ensuring state and public security:",,,1,,Self-targeting. 
Russia,2014,ECA,RUSSIA," s) to protect national interests of the Russian Federation in the Arctic region.
k) to participate in peacekeeping operations to maintain (restore) international peace and security, to take measures toavert (eliminate) threats to peace, and to suppress acts of aggression (violation of peace) on the basis of decisions of theUN Security Council or other bodies authorized to adopt such decisions in accordance with international law;
",,,1,,Self-targeting. 
Finland,2001,ECA,RUSSIA,"Russia's adjustment to new geographic, economic and political realities is still in progress. Despite internal difficulties, Russia aims to increase its political influence in the international arena in the CIS, Europe and globally. As a permanent member of the UN Security Council Russia emphasizes the role of the United Nations. Russia also feels that it is losing influence in Europe, especially due to NATO enlargement. 
2.1 Objective of the structural changes",,,1,,It is a descriptive/factual statement. 
Netherlands,2010,ECA,RUSSIA," In the Multipolar scenario, power blocs have formed and international conflicts of interests have become more pronounced. The United States and China dominate this multipolar world. They clash primarily over hegemony in the Pacific region and the Indian Ocean region, and over access to energy reserves in Central Asia and the Middle East. The EU, India, Japan and Brazil are also powers of considerable significance, as is an authoritarian Russia which, thanks to structurally high raw material prices, is wealthy and autonomous. Russia will not tolerate ‘interference’ in the Arctic Ocean, where important new shipping routes and areas for extraction of raw materials have developed as a consequence of global warming. In this area of the world, Russian interests therefore mainly clash with Canadian, American and European interests. India and China dispute each other ’s territorial claims and spheres of influence around the Indian Ocean and on the Eurasian mainland, where the most important sea lanes in the world for energy, food supply and international trade are situated. Many smaller nations endeavour to strengthen their positions by establishing ties with a great power or by aligning with the power blocs. 
Summary and conclusions 
",,1,,,It includes a negative description of the target country. 
Switzerland,2021,ECA,RUSSIA," Russia is upgrading its capability to wage war against a powerful convention­ally-armed opponent. The country is investing considerable resources in the 
Acrucial factor here is that we must continue to improve our systems for the early detection of threats and crises. The intelligence service plays a central role here. The planned revision of the Intelligence Service Act is designed to help it fulfil its preventive function even better in conjunction with other civilian and military instruments – in the fight against terrorism, violent extremism, espionage and pro­liferation. However, improved early detection will also permit better targeting of 
",,1,,,It includes a description of a non-cooperative or hostile action taken by the target country. 
Finland,2001,ECA,RUSSIA,"The Baltic Sea and the countries bordering it form a link to Europe and the rest of the world that is vital to Russia. The Kaliningrad area, part of Russia but pocketed between Lithuania and Poland, emphasizes Russia's role in the Baltic Sea region. 
2.2 Requirements of military defence and crisis management",,,1,,It is a descriptive/factual statement. 
Finland,2013,ECA,RUSSIA,"which is also echoed in E8Russian and 1AT2Russia relationships. Even though
1.4 International crisis management ................................................................... 51",,,1,,It does not provide relevant information. 
France,2008,ECA,RUSSIA,"Major conflicts in Asia would directly affect the interests of France and Europe. The sources of still unresolved conflicts inherited from the second half of the XXth century create an especially serious risk inasmuch as three major nuclear States have common frontiers that are not recognised internationally (the line of control between India and Pakistan, and the line of actual control between India and China), and inasmuch as Asia still does not have multilateral institutions for the prevention or settlement of conflicts. The constitution in June 2001 of the Shanghai Cooperation Organisation, bringing together the Heads of State of its six member countries (China, Russia, and the Central Asian States) and observer states (India, Iran, Mongolia and Pakistan), or again the development of ASEAN, are evidence of a growing awareness among the region’s countries of the need for collec­tive consultation on security problems. But as Asian leaders them­selves admit, these efforts fall short of what is needed.",,,1,,It mentions the target country in passing. 
UK,2002,ECA,RUSSIA,"72. Key to success will be the continued development of modern and effective Alliance military capabilities, the creation of more flexible command structures (with the focus on deployable headquarters) and the implementation of a new force structure capable of generating, deploying and sustaining NATO forces wherever they are needed. Also important will be the exploitation of NATO’s strategic partnerships, particularly with the EU and Russia – but also through Partnership for Peace and NATO’s Mediterranean Dialogue.",1,,,,Indicates a desire for greater cooperation. 
Russia,2000,ECA,RUSSIA," • development of the air defense of the Russian Federation as an integrated system based on centralized command and control of all air defense forces and resources;
• the correspondence of the level of readiness, training, and provision of the state's military organization to the requirements of military security;
",,,1,,Self-targeting. 
Russia,2009,ECA,RUSSIA,"National security in the domain of improving the quality of life of Russian citizens will be supported by the reduction of organised crime, corruption, and drug addiction; by preventing organised criminal groups from legalising their economic activities; by achieving socio-political stability and a positive dynamic of development of the Russian Federation, as well as the ensuring the stability of the financial-banking system, broader exploitation of mineral and raw material resources, accessibility of modern education and healthcare, high social mobility and support for socially significant labour activity, superior qualifications and quality of labour resources, and finally the rational organisation of migratory flows. 
10.",,,1,,Self-targeting. 
Russia,2014,ECA,RUSSIA,"ENCOUNTERED BY THE RUSSIAN FEDERATION
11. There is a tendency towards shifting the military risks and military threats to the information space and the internalsphere of the Russian Federation. At the same time, despite the fact that unleashing of a large-scale war against theRussian Federation becomes less probable, in a number of areas the military risks encountered by the Russian Federationare increasing.",,,1,,Self-targeting. 
Switzerland,2020,ECA,RUSSIA,"It is too early for a political appraisal of the long-term impact of the pandemic on the EU. It is clear that the economic, financial and social challenges for the union will be enormous. The economic consequences of the pandemic will probably have repercussions on investment in military security and defence. In the years ahead, the pandemic will curb the EU’s strategic ambitions and its aspiration for autonomy in defence policy. Among the most immediate challenges for the EU will be Europe’s future relations with the USAand the development of a Russian sphere of influence on the EU’s eastern periphery. Along the southern periphery, the EU will have to face growing pressures on its external borders. 
Illegal intelligence 71",,,1,,It mentions the target country in passing. 
Ukraine,2009,ECA,RUSSIA,"11 	Protocol between the Government of Ukraine and the Government the Russian Federation on changes introduced to the Agreement between the Government of Ukraine and the Government the Russian Federation on further cooperation in serial production and delivery operational tactical transport aircraft AN 70 and transport aircraft AN 70D with D-27 engines (Zhukovsky, Moscow Region, Russia 19.08.2009) of on cooperation  in the field of common aircraft construction was signed",1,,,,It includes a description of cooperative actions with the target country. 
Netherlands,2023,ECA,RUSSIA,"In a highly polarised world in which major powers vie for power and influence and where direct conflict with Russia has become more conceivable,69 the Kingdom and EU must be better able to defend their territories as well as defend and strengthen our common security interests.70 The power of European cooperation lies in jointly tackling and sharing knowledge about major, international challenges. We must grow stronger together to protect our freedom, security and prosperity. The Russian invasion of Ukraine has led Europe to invest further in its security. European countries are systematically increasing their defence budgets and applying existing instruments such as sanctions and the European Peace Facility more effectively.71 The military capability of both NATO and the EU is being strengthened through investment in necessary military capabilities and intensified (European) defence cooperation. More joint practices will help increase readiness and deployability and contribute to credible deterrence. 
National Security as a concept Development of the threats Opportunities for promoting security interests Connections and intersecting themes",,1,,,It includes a description of a non-cooperative or hostile action taken by the target country. 
Slovakia,2011,ECA,RUSSIA,"The Russian Federation is a strategic partner of both EU and NATO. As a result, ensuring the security of supply of strategic raw materials from the Russian Federation and their transit to European customers represents one of Slovakia’s foreign policy permanent priorities. Slovakia will be supportive of more significant penetration of Slovak products to the Russian market. To this end, the Slovak Republic will initiate and support an open and structured dialogue with Russia at the bilateral and multilateral forums, placing an emphasis on all the relevant aspects of national and European energy security. The Slovak Republic welcomes the EU-Russia Partnership for Modernisation and is keen to contribute its share through its own bilateral projects. Slovakia’s permanent interest is to intensify business and economic cooperation, including support for high value-added investments in both directions. It will continue to promote Russia’s membership in the World Trade Organization as outlined in the outcomes of the EU-Russia summit in Brussels in December. 
The year 2011 will see continued efforts to overcome the impacts of the economic crisis and ensure global growth. The EU will continue to seek solutions for the consolidation of the single European currency. Slovakia does not expect any changes in the leading position of the U.S. in the security, political and economic domains throughout 2011. China’s growing political and economic assertiveness will have an increasing impact on the position of other stakeholders active in global issues. The economic power of emerging countries may increasingly translate into their political power, and the pressure to increase their global involvement will rise proportionately.",1,,,,Indicates a desire for greater cooperation. 
Russia,2015,ECA,RUSSIA," -- creating strategic reserves of mineral and raw-material resourcessufficient to guarantee the mobilization needs of the Russian Federationand the requirements of the country's economy for the long term;
Economic Growth
",,,1,,Self-targeting. 
Russia,2023,ECA,RUSSIA,"6) creating an enabling environment for foreign media to operate in Russia on the basis of reciprocity; 
1) increasing efficiency of the international cooperation in the area of healthcare and preventing its politicization, including within international organizations;",,,1,,Self-targeting. 
Ukraine,2018,ECA,RUSSIA,"In 2018 NATO, condemning aggressive actions of Russia against Ukraine, continued to demonstrate their commitment to the distinctive partnership with Ukraine and supported the Ukrainian defence and security sector reforms in the framework of the NATO-Ukraine Joint Working Group on Defence Reform (JWGDR) and the Operational Capabilities Concept Planning and Review mechanism (OCC P&R), as well as the advisory mission of the NATO Office in Ukraine.",,1,,,It includes a description of a non-cooperative or hostile action taken by the target country. 
Lithuania,2020,ECA,RUSSIA," the most representative assembly in Europe and Russia seeks to exploit it for advancing its foreign policy agenda. 
• The Commonwealth of Independent States remains the key area for Russia 
",,,1,,It does not provide relevant information. 
Lithuania,2023,ECA,RUSSIA," Russia’s war against ukraine has presented a challenge to our intelligence commu­nity, on the other hand, it has had a sobering effect on how threats and security chal­lenges that the whole of Europe is currently facing are perceived. it is more obvious than ever that Russia and its decision to use military force is the biggest threat to lithuanian and European security alongside complicit actions by the authoritarian and Russia-dependent Belarus. 
INTELLIGENCE AND STATE SECURITY 
",,1,,,It includes a description of a non-cooperative or hostile action taken by the target country. 
Russia,2010,ECA,RUSSIA," d) to draw up mobilizational plans for the economy of the Russian Federation 
a) a drastc deterioration in the military-political situation (interstate 
",,,1,,Self-targeting. 
Lithuania,2020,ECA,RUSSIA,"delegation in the PACE is presented as actual recognition of the annexation of Crimea and thus a significant victory for Putin’s policy. The composition of the new Russian delegation at the PACE is also telling. Of the 18 delegation members, five have direct links to Russian aggression against Ukraine. Duma 
deeper political integration.",,1,,,It includes a negative description of the target country. 
Russia,2023,ECA,RUSSIA,"33. For the purpose of combating the transnational organized crime and corruption that cause a growing threat to the security and sustainable development of Russia, its allies and partners, the Russian Federation intends to give priority to enhancing the international cooperation with the goal of eliminating the safe havens for criminals and strengthening multilateral mechanisms that accord with the national interests of Russia. 
5) improve the mechanism for applying international sanctions, based on the exclusive competence of the UN Security Council to impose such measures and the need to ensure their effectiveness in maintaining international peace and security and preventing a deterioration of the humanitarian situation;",,,1,,Self-targeting. 
USA,1999,NA,RUSSIA,"Over 48,000 troops from 30 countries have participated in the Kosovo Force (KFOR). Our European allies have provided the vast majority of them; America will continue to contribute about 7,000. Russian and other non-NATO participation in KFOR remains an important demonstration of international commitment and provides reassurance to all the people of Kosovo that they will live in peace and security. KFOR continues to operate under NATO command and control and rules of engagement set by NATO. It has the means and the mandate to protect itself while doing its job. Under the security environment established by KFOR, the United Nations has established an interim civilian administration and a 4,700-person international police force that will assist the Kosovars in building institutions of self-government. As local institutions take hold, and as international and indigenous police forces establish law and order, NATO will be able to turn over increasing responsibility to them.",1,,,,It includes a description of cooperative actions with the target country. 
USA,2022,NA,RUSSIA," The United States respects the Russian people and their contributions to science, culture and constructive bilateral relations over many decades. Notwithstanding the Russian government’s strategic miscalculation in attacking Ukraine, it is the Russian people who will determine Russia’s future as a major power capable of once more playing a constructive role in international affairs. The United States will welcome such a future, and in the meantime, will continue to push back against the aggression perpetrated by the Russian government. 
“The world is changing. We’re at a significant inflection point in world history. And our country 
",1,,,,Indicates a desire for greater cooperation. 
USA,1950,NA,RUSSIA,"Effective control over the production and stockpiling of raw materials might further extend the time period which effective international control would assure. Now that the Russians have learned the technique of producing atomic weapons, the time between violation of an international control agreement and production of atomic weapons will be shorter than was estimated in 1946, except possibly in the field of thermonuclear or other new types of weapons.
prepared by Secretary of Defense and Secretary of State) to the NSC.",,,1,,It is a descriptive/factual statement. 
USA,2006,NA,RUSSIA,"The North Korean regime also poses a serious nuclear proliferation challenge.  It presents a long and bleak record of duplicity and bad-faith negotiations.  In the past, the regime has attempted to split the United States from its allies.  This time, the United States has successfully forged a consensus among key regional partners – China, Japan, Russia, and the Republic of Korea (ROK) – that the DPRK must give up all of its existing nuclear programs.  Regional cooperation offers the best hope for a peaceful, diplomatic resolution of this problem.  In a joint statement signed on September 19, 2005, in the Six-Party Talks among these participants, the DPRK agreed to abandon its nuclear weapons and all existing nuclear programs.  The joint statement also declared that the relevant parties would negotiate a permanent peace for the Korean peninsula and explore ways to promote security cooperation in Asia.  Along with our partners in the Six-Party Talks, the United States will continue to press the DPRK to implement these commitments.   
TABLE OF CONTENTS",1,,,,It includes a description of cooperative actions with the target country. 
USA,2022,NA,RUSSIA," We will uphold U.S. security in the region by improving our maritime domain awareness, communications, disaster response capabilities, and icebreaking capacity to prepare for increased international activity in the region. We will exercise U.S. Government presence in the region as required, while reducing risk and preventing unnecessary escalation. Arctic nations have the primary responsibility for addressing regional challenges, and we will deepen our cooperation with our Arctic allies and partners and work with them to sustain the Arctic Council and other Arctic institutions despite the challenges to Arctic cooperation posed by Russia’s war in Ukraine. We will continue to protect freedom of navigation and determine the U.S. extended continental shelf in accordance with international rules. We must build resilience to and mitigate climate change in the region, including through agreements to reduce emissions and more cross-Arctic research collaboration. As economic activity in the Arctic increases, we will invest in infrastructure, improve livelihoods, and encourage responsible private sector investment by the United States, our allies, and our partners, including in critical minerals, and improve investment screening for national security purposes. Across these efforts, we will uphold our commitment to honor Tribal sovereignty and self-governance through regular, meaningful, and robust consultation and collaboration with Alaska Native communities. 
Our Enduring Role 
",,1,,,It includes a description of a non-cooperative or hostile action taken by the target country. 
USA,1950,NA,RUSSIA,"""b. To bring about a basic change in the conduct of international relations by the government in power in Russia, to conform with the purposes and principles set forth in the UN Charter.
3. A memo for record, dated September 5, 1950, by Ralph Stohl, Secretary of the Armed",,,,1,"Since it is a commitment, it is unclear whether it is not-aligned or neutral.  "
USA,2015,NA,RUSSIA,"The challenges faced by Ukrainian and European dependence on Russian energy supplies puts a spotlight
Globally, we have moved beyond the large ground wars in Iraq and Afghanistan that defined so much of American foreign policy over the past decade. Compared to the nearly 180,000 troops we had in Iraq and Afghanistan when I took office, we now have fewer than 15,000 deployed in those countries. We possess a military whose might, technology, and geostrategic reach is unrivaled in human history. We have renewed our alliances from Europe to Asia.",,,1,,It is a fragment yielding ambiguity about author’s intent. 
USA,1997,NA,RUSSIA," the largest and most powerful Russia. The United States will continue to vigorously promote Russian 
mission and constitutional duty. As we enter the twenty-first century, we have an unprecedented 
",,,1,,It is a fragment yielding ambiguity about author’s intent. 
USA,2018,NA,RUSSIA,"The 2018 National Military Strategy describes a roadmap for how the Joint Force will defend the homeland and retain its competitive advantage to deter competitors and defeat adversaries, whether great power competitors like China and Russia or other security challenges, now and into the future.",,1,,,Mentions the word competitor. 
USA,1953,NA,RUSSIA,"d. In addition, if any bolshevik regime is left in any part of the Soviet Union, insuring that it does not control enough of the military-industrial potential of the Soviet Union to enable it to wage war on comparable terms with any other regime or regimes which may exist on traditional Russian territory.
October 30, 1953",,,1,,It is a descriptive/factual statement. 
USA,2021,NA,RUSSIA," assertive China and destabilizing Russia, we will assess the appropriate structure, capabilities, 
climate crisis to nuclear proliferation to the fourth industrial revolution â€” one thing is certain: 
",,1,,,The word destabilizing points to not-aligned. 
USA,2022,NA,RUSSIA," The United States has a vital interest in deterring aggression by the PRC, Russia, and other states. More capable competitors and new strategies of threatening behavior below and above the traditional threshold of conflict mean we cannot afford to rely solely on conventional forces and nuclear deterrence. Our defense strategy must sustain and strengthen deterrence, with the PRC as our pacing challenge. 
So, the United States will continue to defend democracy around the world, even as we continue to do the work at home to better live up to the idea of America enshrined in our founding documents. We will continue to invest in boosting American competitiveness globally, drawing dreamers and strivers from around the world.  We will partner with any nation that shares our basic belief that the rules-based order must remain the foundation for global peace and prosperity.  And we will continue to demonstrate how America’s enduring leadership to address the challenges of today and tomorrow, with vision and clarity, is the best way to deliver for the American people.  
",,1,,,Mentions the word competitor. 
USA,1997,NA,RUSSIA," and commercial legislation, as we continue to support American investment and Russia's integration into 
Protecting the security of our nation--our people, our territory and our way of life--is my foremost 
",,,1,,It is a fragment yielding ambiguity about author’s intent. 
USA,2022,NA,RUSSIA," Our societies, and the critical infrastructure that supports them, from power to pipelines, is increasingly digital and vulnerable to disruption or destruction via cyber attacks. Such attacks have been used by countries, such as Russia, to undermine countries' ability to deliver services to citizens and coerce populations. We are working closely with allies and partners, such as the Quad, to define standards for critical infrastructure to rapidly improve our cyber resilience, and building collective capabilities to rapidly respond to attacks. In the face of disruptive cyber attacks from criminals, we have launched innovative partnerships, to expand law enforcement cooperation, deny sanctuary to cyber criminals and counter illicit use of cryptocurrency to launder the proceeds of cybercrime. As an open society, the United States has a clear interest in strengthening norms that mitigate cyber threats and enhance stability in cyberspace. We aim to deter cyber attacks from state and non state actors and will respond decisively with all appropriate tools of national power to hostile acts in cyberspace, including those that disrupt or degrade vital national functions or critical infrastructure. We will continue to promote adherence to the UN General Assembly-endorsed framework of responsible state behavior in cyberspace, which recognizes that international law applies online, just as it does offline. 
a single solitary thing.” 
",,1,,,It includes a description of a non-cooperative or hostile action taken by the target country. 
USA,1999,NA,RUSSIA," By supporting historic market reforms in Central and Eastern Europe and in the NIS, we help new democracies take root by avoiding conditions, such as corruption and poverty, that can weaken democratic governance and erode the appeal of democratic values. The United States will continue helping the NIS economies integrate into international economic and other institutions and develop healthy business climates. We will continue to promote political and economic reform in Russia, working to create a thriving market economy while guarding against corruption. 

",,,,1,"Indicates a desire for greater cooperation but the direction is unclear to me, since it promotes internal reform in Russia. "
USA,2022,NA,RUSSIA," Corruption poses a fundamental threat to the rule of law. When government officials abuse public power for private gain, it degrades the business environment, subverts economic opportunity, and exacerbates inequality. Corruption also contributes to reduced public trust in state institutions, which in turn can add to the appeal of illiberal actors who exploit popular grievances for political advantage. In today’s globalized world, international financial systems are used to stash illicit wealth abroad and to send bribes across borders. The United States Strategy on Countering Corruption recognizes the unique threat corruption poses to our national security and places a special emphasis on recognizing the ways in which corrupt actors have used the U.S. financial system and other rule-of-law based systems to launder their ill-gotten gains. In response to Russia’s continued invasion of Ukraine, the United States ramped up its kleptocracy initiatives aimed at recovering corruption proceeds as well as both identifying and repatriating the laundered proceeds of crime. Finally, the United States will elevate and expand the scale of diplomatic engagement and foreign assistance, including by enhancing partner governments’ capacitates to fight corruption in cooperation with U.S. law enforcement authorities and bolstering the prevention and oversight capacities of willing governments. 
PRESIDENT JOSEPH R. BIDEN,JR 
",,1,,,It includes a description of a non-cooperative or hostile action taken by the target country. 
USA,1999,NA,RUSSIA,"On September 26, 1997, representatives of the United States, Russia, Belarus, Kazakhstan and Ukraine signed or initialed five agreements relating to the ABM Treaty. At the Cologne G-8 Summit in June 1999, Presidents Clinton and Yeltsin reiterated their determination to achieve earliest possible ratification and entry into force of those agreements. The agreements on demarcation and succession will be provided to the Senate for its advice and consent following Russian ratification of START II.",1,,,,It includes a description of cooperative actions with the target country. 
USA,1950,NA,RUSSIA,"Within the past thirty-five years the world has experienced two global wars of tremendous violence. It has witnessed two revolutions—the Russian and the Chinese—of extreme scope and intensity. It has also seen the collapse of five empires—the Ottoman, the Austro-Hungarian, German, Italian, and Japanese—and the drastic decline of two major imperial systems, the British and the French. During the span of one generation, the international distribution of power has been fundamentally altered. For several centuries it had proved impossible for any one nation to gain such preponderant strength that a coalition of other nations could not in time face it with greater strength. The international scene was marked by recurring periods of violence and war, but a system of sovereign and independent states was maintained, over which no state was able to achieve hegemony.
Reproduced to accompany Air Force Magazine's The Keeper File, ""Nitze's 'Bludgeon',"" published December 2004.",,,1,,It is a descriptive/factual statement. 
USA,2006,NA,RUSSIA," The United States seeks to work closely with Russia on strategic issues of common interest and to manage issues on which we have differing interests.  By reason of geography and power, Russia has great influence not only in Europe and its own immediate neighborhood, but also in many other regions of vital interest to us:  the broader Middle East, South and Central Asia, and East Asia.  We must encourage Russia to respect the values of freedom and democracy at home and not to impede the cause of freedom and democracy in these regions.  Strengthening our relationship will depend on the policies, foreign and domestic, that Russia adopts.  Recent trends regrettably point toward a diminishing commitment to democratic freedoms and institutions.  We will work to try to persuade the Russian Government to move forward, not backward, along freedom’s path. 

",1,,,,Indicates a desire for greater cooperation. 
USA,1999,NA,RUSSIA,"In 1999, the President launched the Expanded Threat Reduction Initiative (ETRI). This effort is designed to address the new security challenges in Russia and 
Those words have more resonance than ever as",,,1,,It is a fragment yielding ambiguity about author’s intent. 
USA,1950,NA,RUSSIA,"the only power which could release forces in the free and Soviet worlds which could destroy it. The Kremlin's policy toward us is consequently animated by a peculiarly virulent blend of hatred and fear. Its strategy has been one of attempting to undermine the complex of forces, in this country and in the rest of the free world, on which our power is based. In this it has both adhered to doctrine and followed the sound principle of seeking maximum results with minimum risks and commitments. The present application of this strategy is a new form of expression for traditional Russian caution. However, there is no justification in Soviet theory or practice for predicting that, should the Kremlin become convinced that it could cause our downfall by one conclusive blow, it would not seek that solution.
World Crisis"" page (p. 4) crossed out, with note from Presidential Executive Secretary James",,1,,,It includes a negative description of the target country. 
USA,1950,NA,RUSSIA,"There is no reason, in the event of war, for us to alter our overall objectives. They do not include unconditional surrender, the subjugation of the Russian peoples or a Russia shorn of its economic potential. Such a course would irrevocably unite the Russian people behind the regime which enslaves them. Rather these objectives contemplate Soviet acceptance of the specific and limited conditions requisite to an international environment in which free institutions can flourish, and in which the Russian peoples will have a new chance to work out their own destiny. If we can make the Russian people our allies in the enterprise we will obviously have made our task easier and victory more certain.
Scanned version of NSC-68 also available via www.airforce-magazine.com",,1,,,It includes a description of a non-cooperative or hostile action taken by the target country. 
USA,2006,NA,RUSSIA,"The United States seeks to work closely with Russia on strategic issues of common interest and to manage issues on which we have differing interests.  By reason of geography and power, Russia has great influence not only in Europe and its own immediate neighborhood, but also in many other regions of vital interest to us:  the broader Middle East, South and Central Asia, and East Asia.  We must encourage Russia to respect the values of freedom and democracy at home and not to impede the cause of freedom and democracy in these regions.  Strengthening our relationship will depend on the policies, foreign and domestic, that Russia adopts.  Recent trends regrettably point toward a diminishing commitment to democratic freedoms and institutions.  We will work to try to persuade the Russian Government to move forward, not backward, along freedom’s path. 
III. 	Strengthen Alliances to Defeat Global Terrorism and Work to Prevent Attacks Against Us and Our Friends............................................................................................... 8",1,,,,Indicates a desire for greater cooperation. Repeated with 238.
USA,2022,NA,RUSSIA," Their pursuit of this vision is complicated by several factors. The PRC’s assertive behavior has caused other countries to push back and defend their sovereignty, for their own, legitimate reasons. The PRC also retains common interests with other countries, including the United States, because of various interdependencies on climate, economics, and public health. Russia’s strategic limitations have been exposed following its war of aggression against Ukraine. Moscow also has some interest in cooperation with countries that do not share its vision, especially in the global south. As a result, the United States and our allies and partners have an opportunity to shape the PRC and Russia’s external environment in a way that influences their behavior even as we compete with them. 

",,1,,,It includes a description of a non-cooperative or hostile action taken by the target country. 
USA,2022,NA,RUSSIA,"Building this inclusive coalition requires reinforcing the multilateral system to uphold the founding principles of the United Nations, including respect for international law. 141 countries expressed support at the United Nations General Assembly for a resolution condemning Russia’s unprovoked aggression against Ukraine. We continue to demonstrate this approach by engaging all regions across all issues, not in terms of what we are against but what we are for. This year, we partnered with ASEAN to advance clean energy infrastructure and maritime security in the region. We kickstarted the Prosper Africa Build Together Campaign to fuel economic growth across the continent and bolster trade and investment in the clean energy, health, and digital technology sectors. We are working to develop a partnership with countries on the Atlantic Ocean to establish and carry out a shared approach to advancing our joint development, economic, environmental, scientific, and maritime governance goals. We galvanized regional action to address the core challenges facing the Western Hemisphere by spearheading the Americas Partnership for Economic Prosperity to drive economic recovery and by mobilizing the region behind a bold and unprecedented approach to migration through the Los Angeles Declaration on Migration and Protection. In the Middle East, we have worked to enhance deterrence toward Iran, de-escalate regional conflicts, deepen integration among a diverse set of partners in the region, and bolster energy stability. 
uphold and strengthen the principles and institutions that have enabled so much stability, prosperity, and growth for the last 75 years.  We have deepened our core alliances in Europe and the Indo-Pacific.  NATO is stronger and more united than it has ever been, as we look to welcome two capable new allies in Finland and Sweden.  We are doing more to connect our partners and strategies across regions through initiatives like our security partnership with Australia and the United Kingdom (AUKUS).  And we are forging creative new ways to work in common cause with partners around issues of shared interest, as we are with the European Union, the Indo-Pacific Quad, the Indo-Pacific Economic Framework, and the Americas Partnership for Economic Prosperity.",,1,,,It includes a description of a non-cooperative or hostile action taken by the target country. 
USA,2010,NA,RUSSIA," The United States is part of a dynamic international environment, in which different nations are exerting greater influence, and advancing our interests will require expanding spheres of cooperation around the word. Certain bilateral relationships—such as U.S. relations with China, India, and Russia—will be critical to building broader cooperation on areas of mutual interest. And emerging powers in every region of the world are increasingly asserting themselves, raising opportunities for partnership for the United States.

",1,,,,Indicates a desire for greater cooperation. 
USA,1999,NA,RUSSIA,"On September 26, 1997, representatives of the United States, Russia, Belarus, Kazakhstan and Ukraine signed or initialed five agreements relating to the ABM Treaty. At the Cologne G-8 Summit in June 1999, Presidents Clinton and Yeltsin reiterated their determination to achieve earliest possible ratification and entry into force of those agreements. The agreements on demarcation and succession will be provided to the Senate for its advice and consent following Russian ratification of START II. 
DECEMBER 1999",1,,,,It includes a description of cooperative actions with the target country. 
USA,2022,NA,RUSSIA," In the contest for the future of our world, my Administration is clear-eyed about the scope and seriousness of this challenge. The People’s Republic of China harbors the intention and, increasingly, the capacity to reshape the international order in favor of one that tilts the global playing field to its benefit, even as the United States remains committed to managing the competition between our countries responsibly.  Russia’s brutal and unprovoked war on its neighbor Ukraine has shattered peace in Europe and impacted stability everywhere, and its reckless nuclear threats endanger the global non-proliferation regime.  Autocrats are working overtime to undermine democracy and export a model of governance marked by repression at home and coercion abroad.   

",,1,,,It includes a description of a non-cooperative or hostile action taken by the target country. 
USA,1999,NA,RUSSIA,"We are purchasing tons of highly enriched uranium from dismantled Russian nuclear weapons for conversion into commercial reactor fuel, and working with Russia to remove 34 metric tons of plutonium from each country’s nuclear weapons programs and converting it so that it can never be used in nuclear weapons. We are redirecting dozens of former Soviet WMD facilities and tens of thousands of former Soviet WMD scientists in Eastern Europe and Eurasia from military activities to beneficial civilian research. These efforts include implementing a new biotechnical initiative aimed at increasing transparency in former Soviet biological weapons facilities and redirecting their scientists to civilian commercial, agricultural, and public health activities. 
we enter the 21 century. America is at the height of its influence and prosperity. But, at a time of rapid globalization, when events halfway around the earth can profoundly affect our safety and prosperity, America must lead in the world to protect our people at home and our way of life. Americans benefit when nations come together to deter aggression and terrorism, to resolve conflicts, to prevent the spread of dangerous weapons, to promote democracy and human rights, to open markets and create financial stability, to raise living standards, to protect the environment – to face challenges that no nation can meet alone. The United States remains the world’s most powerful force for peace, prosperity and the universal values of democracy and freedom. Our nation’s central challenge – and our responsibility – is to sustain that role by seizing the opportunities of this new global era for the benefit of our own people and people around the world.",1,,,,It includes a description of cooperative actions with the target country. 
India,2019,SA,RUSSIA,"Supersonic Cruise Missile ‘BrahMos’: ‘Developed by India and Russia, the versatile BrahMos has been operationalized in the Indian Armed Forces with all the three Services. On May 22, 2019, IAF successfully fired the BrahMos air version missile from its frontline Su-30 MKI fighter aircraft against land target. On May 24, 2019, BrahMos was successfully test fired by IA as part of joint training by IA, IN & IAF. The missile featuring indigenized booster propulsion system, airframe, power supply and other major indigenous components was also successfully test fired on September 30, 2019 from ITR, Chandipur. On December 17, 2019, DRDO successfully fired BrahMos with indigenously developed seeker. Further, on the same day, Air version BrahMos was successfully test fired from Su-30 MKI aircraft against sea target as per IAF requirements. 
(v)",,,1,,It is a descriptive/factual statement. 
India,2013,SA,RUSSIA," with Russia, Israel, USA, Belarus, Czech Republic, UK, Singapore, South Korea, Canada, Kyrgyzstan, Kazakhstan, Sweden, Hungary, Bulgaria, Ukraine, France, Germany, Italy, Poland and Brazil. A MoU 
Government of India 
",,,1,,The target country is only mentioned in passing. 
